Pago de Impuestos Tributarios;;;
Grandes Contribuyentes;Pago Primera Cuota;Pago Segunda Cuota;Pago Tercera Cuota
2018;;;
Noviembre;15;;
Diciembre;;;
2019;;;
Febrero;8-11-12-13-14-15-18-19-20-21;;
Abril;;9-10-11-12-15-16-22-23-24-25;
Junio;;;11-12-13-14-17-18-19-20-21-25
Personas Juridicas;Pago Primera Cuota;;Pago Segunda Cuota
2018;;;
Noviembre;;;
Diciembre;;;
2019;;;
Abril;9-10-11-12-15-16-22-23-24-25-26-29-30;;
Mayo;;2-3-6-7-8-9-10;
Junio;;;11-12-13-14-17-18-19-20-21-25
Personas Naturales;Plazo Hasta ;Plazo Hasta ;Plazo Hasta 
2018;;;
Noviembre;;;
Diciembre;;;
2019;;;
Agosto;6-8-9-12-13-14-15-16-20-21-22-23-26-27-28-29-30;;
Septiembre;;2-3-4-5-6-9-10-11-12-13-16-17-18-19-20-23-24-25-26-27-30;
Octubre;;;1-2-3-4-7-8-9-10-11-15-16-17
IVA;Pago Bimestral;;Pago Cuatrimestral
2018;;;
Noviembre;9 - 13 - 14 - 15 - 16 - 19 - 20 - 21 - 22 - 23;;
Diciembre;;;
2019;;;
Marzo;8-11-12-13-14-15-18-19-20-21;;
Mayo;9-10-13-14-15-16-17-20-21-22;;9-10-13-14-15-16-17-20-21-22
Julio;9-10-11-12-15-16-17-18-19-22;;
Septiembre;10-11-12-13-16-17-18-19-20-23;;10-11-12-13-16-17-18-19-20-23
Noviembre;12-13-14-15-18-19-20-21-22-25;;
Retención en la Fuente;Fecha de Pago;;
2018;;;
Noviembre;9 - 13 - 14 - 15 - 16 - 19 - 20 - 21 - 22 - 23;;
Diciembre;10 - 11 - 12 - 13 - 14 - 17 - 18 - 19 - 20 - 21;;
2019;;;
Febrero;8-11-12-13-14-15-18-19-20-21;;
Marzo;8-11-12-13-14-15-18-19-20-21;;
Abril;9-10-11-12-15-16-22-23-24-25;;
Mayo;9-10-13-14-15-16-17-20-21-22;;
Junio;11-12-13-14-17-18-19-20-21-25;;
Julio;9-10-11-12-15-16-17-18-19-22;;
Agosto;9-12-13-14-15-16-20-21-22-23;;
Septiembre;10-11-12-13-16-17-18-19-20-23;;
Octubre;8-9-10-11-15-16-17-18-21-22;;
Noviembre;12-13-14-15-18-19-20-21-22-25;;
Declaración Mensual del Impuesto Nacional;Gasolina y ACPM;Carbono;
2018;;;
Noviembre;15;;
Diciembre;14;;
2019;;;
Febrero;15;;
Marzo;15;15;
Abril;16;16;
Mayo;17;17;
Junio;20;20;
Julio;17;17;
Agosto;16;16;
Septiembre;17;17;
Octubre;16;16;
Noviembre;14;14;
Pago de Impuestos Predial;;;
2018;;;
Noviembre;9;;
2019;;;
Marzo;29;;
Abril;5;;
Mayo;10;;
Junio;21;;
Julio;12;;
Septiembre;13;;
Noviembre;8;;
Pago de Impuestos Vehicular;;;
2018;;;
2019;;;
Mayo;3;;
Junio;28;;
Pago de Pensiones;;;
2018;Fecha de Pago;;
Noviembre;22;;
Diciembre;20;;
2019;Fecha de Pago;;
Enero;25;;
Febrero;25;;
Marzo;26;;
Abril;25;;
Mayo;27;;
Junio;25;;
Julio;25;;
Agosto;26;;
Septiembre;25;;
Octubre;25;;
Noviembre;25;;
Pago ICA;;;
2018;Regimen Comun;;
Noviembre;16;;
2019;Regimen Comun;Simplificado;
Enero;18;25;
Marzo;15;;
Mayo;17;;
Julio;19;;
Septiembre;20;;
Noviembre;15;;
Pago de Quincenas;Primera Quincena;Segunda Quincena;
2018;;;
Noviembre;Jueves 15;Viernes 30;
Diciembre;Viernes 14;Viernes 28;
2019;;;
Enero;Martes 15;Jueves 31;
Febrero;Viernes 15;Jueves 28;
Marzo;Viernes 15;Viernes 29;
Abril;Lunes 15;Martes 30;
Mayo;Miercoles 15;Viernes 31;
Junio;Viernes 14;Viernes 28;
Julio;Lunes 15;Miercoles 31;
Agosto;Jueves 15;Viernes 30;
Septiembre;Lunes 16;Lunes 30;
Octubre;Martes 15;Jueves 31;
Noviembre;Viernes 15;Viernes 29;
