Cod Oficina ;N° Clientes ofc;Fecha;Tiempo espera promedio del cliente
23;65;jueves, 1 de noviembre de 2018;0:30
23;65;viernes, 2 de noviembre de 2018;0:15
23;60;martes, 6 de noviembre de 2018;0:07
23;55;miércoles, 7 de noviembre de 2018;0:03
23;55;jueves, 8 de noviembre de 2018;0:04
23;60;viernes, 9 de noviembre de 2018;0:10
23;61;martes, 13 de noviembre de 2018;0:12
23;63;miércoles, 14 de noviembre de 2018;0:27
23;63;jueves, 15 de noviembre de 2018;0:25
23;63;viernes, 16 de noviembre de 2018;0:46
23;64;lunes, 19 de noviembre de 2018;0:43
23;64;martes, 20 de noviembre de 2018;0:43
23;60;miércoles, 21 de noviembre de 2018;0:30
23;60;jueves, 22 de noviembre de 2018;0:25
23;60;viernes, 23 de noviembre de 2018;0:16
23;55;lunes, 26 de noviembre de 2018;0:10
23;54;martes, 27 de noviembre de 2018;0:08
23;53;miércoles, 28 de noviembre de 2018;0:14
23;53;jueves, 29 de noviembre de 2018;0:15
23;95;viernes, 30 de noviembre de 2018;0:45
23;90;lunes, 3 de diciembre de 2018;0:29
23;85;martes, 4 de diciembre de 2018;0:14
23;80;miércoles, 5 de diciembre de 2018;0:06
23;85;jueves, 6 de diciembre de 2018;0:02
23;80;viernes, 7 de diciembre de 2018;0:03
23;95;lunes, 10 de diciembre de 2018;0:43
23;95;martes, 11 de diciembre de 2018;0:43
23;95;miércoles, 12 de diciembre de 2018;0:30
23;95;jueves, 13 de diciembre de 2018;0:25
23;95;viernes, 14 de diciembre de 2018;0:16
23;95;lunes, 17 de diciembre de 2018;0:40
23;95;martes, 18 de diciembre de 2018;0:39
23;95;miércoles, 19 de diciembre de 2018;0:32
23;95;jueves, 20 de diciembre de 2018;0:26
23;95;viernes, 21 de diciembre de 2018;0:18
23;90;lunes, 24 de diciembre de 2018;0:10
23;85;miércoles, 26 de diciembre de 2018;0:08
23;80;jueves, 27 de diciembre de 2018;0:14
23;95;viernes, 28 de diciembre de 2018;0:19
23;60;lunes, 31 de diciembre de 2018;0:43
23;40;miércoles, 2 de enero de 2019;0:30
23;45;jueves, 3 de enero de 2019;0:15
23;47;viernes, 4 de enero de 2019;0:07
23;55;martes, 8 de enero de 2019;0:07
23;55;miércoles, 9 de enero de 2019;0:03
23;55;jueves, 10 de enero de 2019;0:04
23;55;viernes, 11 de enero de 2019;0:06
23;50;lunes, 14 de enero de 2019;0:10
23;80;martes, 15 de enero de 2019;0:20
23;80;miércoles, 16 de enero de 2019;0:12
23;75;jueves, 17 de enero de 2019;0:08
23;80;viernes, 18 de enero de 2019;0:39
23;68;lunes, 21 de enero de 2019;0:10
23;55;martes, 22 de enero de 2019;0:09
23;55;miércoles, 23 de enero de 2019;0:14
23;55;jueves, 24 de enero de 2019;0:10
