Nombre ;Codigo Oficina;Cargo;Periodos Pendientes De Vacaciones;Penultima Fecha De Vacaciones;Ultima Fecha De Vacaciones;Proxima Fecha De Vacaciones;Aprobadas;Rec
Asesor 1;23;Asesor Comercial;0;3/03/2018;10/04/2019;No Proyectadas;0,65
Asesor 2;23;Asesor Comercial;0;23/04/2018;15/04/2019;No Proyectadas;0,23
Cajero 1;23;Cajero;1;24/12/2017;24/12/2018;23/12/2019;0,1
Cajero 2;23;Cajero;1;20/01/2018;15/01/2019;25/01/2019;0,73
Asesor 1;24;Asesor Comercial;0;19/05/2018;23/05/2019;No Proyectadas;0,65
Asesor 2;24;Asesor Comercial;0;10/03/2018;30/03/2019;No Proyectadas;0,23
Asesor 3;24;Asesor Comercial;1;6/01/2018;6/01/2019;6/01/2020;0,43
Cajero 1;24;Cajero;1;20/02/2018;22/02/2019;25/02/2020;0,1
Cajero 2;24;Cajero;1;1/11/2017;6/11/2018;12/11/2019;0,73
Cajero 3;24;Cajero;1;7/01/2018;11/01/2019;3/01/2020;0,14
Asesor 1;63;Asesor Comercial;1;24/01/2018;20/01/2019;20/01/2020;0,65
Asesor 2;63;Asesor Comercial;0;20/03/2018;26/03/2019;No Proyectadas;0,23
Asesor 3;63;Asesor Comercial;0;15/06/2018;18/06/2019;No Proyectadas;0,43
Asesor 4;63;Asesor Comercial;1;19/05/2018;21/05/2019;26/05/2020;0,54
Asesor 5;63;Asesor Comercial;1;29/04/2018;30/04/2019;27/04/2020;0,38
Asesor 6;63;Asesor Comercial;1;3/01/2018;5/01/2019;7/01/2020;0,43
Cajero 1;63;Cajero;1;--;27/12/2018;27/12/2019;0,1
Cajero 2;63;Cajero;1;--;24/12/2018;24/12/2019;0,73
Cajero 3;63;Cajero;1;15/12/2017;15/12/2018;17/12/2018;0,14
Cajero 4;63;Cajero;1;7/12/2017;7/12/2018;12/12/2019;0,54
Cajero 5;63;Cajero;1;--;30/12/2018;30/12/2019;0,38
Cajero 6;63;Cajero;1;31/12/2017;31/12/2018;31/12/2019;0,43
Asesor 1;12;Asesor Comercial;1;--;24/12/2018;24/12/2019;0,65
Asesor 2;12;Asesor Comercial;1;7/01/2018;10/01/2019;10/01/2020;0,23
Asesor 3;12;Asesor Comercial;0;9/01/2017;9/01/2018;15/01/2019;0,46
Asesor 4;12;Asesor Comercial;0;14/01/2017;14/01/2018;7/01/2019;0,54
Asesor 5;12;Asesor Comercial;1;--;26/12/2018;26/12/2019;0,38
Asesor 6;12;Asesor Comercial;1;15/12/2017;15/12/2018;17/12/2018;0,43
Asesor 7;12;Asesor Comercial;1;7/12/2017;7/12/2018;12/12/2019;0,47
Cajero 1;12;Cajero;1;24/01/2018;20/01/2019;20/01/2020;0,1
Cajero 2;12;Cajero;1;--;27/12/2018;27/12/2019;0,73
Cajero 3;12;Cajero;1;--;10/12/2018;12/12/2019;0,14
Cajero 4;12;Cajero;0;12/11/2018;11/11/2019;No Proyectadas;0,54
Cajero 5;12;Cajero;1;--;10/11/2018;22/11/2019;0,38
Cajero 6;12;Cajero;0;20/03/2018;26/03/2019;No Proyectadas;0,43
Cajero 7;12;Cajero;0;3/03/2017;6/03/2018;9/03/2019;0,47
Asesor 1;923;Asesor Comercial;1;16/12/2017;19/12/2018;20/12/2019;0,65
Asesor 2;923;Asesor Comercial;1;--;15/01/2019;20/01/2020;0,23
Asesor 3;923;Asesor Comercial;0;16/02/2018;20/02/2019;No Proyectadas;0,46
Asesor 4;923;Asesor Comercial;1;--;30/12/2018;30/12/2019;0,47
Asesor 5;923;Asesor Comercial;1;31/12/2017;31/12/2018;31/12/2019;0,45
Cajero 1;923;Cajero;0;20/03/2018;26/03/2019;No Proyectadas;0,1
Cajero 2;923;Cajero;0;15/06/2018;18/06/2019;No Proyectadas;0,73
Cajero 3;923;Cajero;0;15/06/2018;18/06/2019;No Proyectadas;0,14
Cajero 4;923;Cajero;1;19/05/2018;21/05/2019;26/05/2020;0,54
Cajero 5;923;Cajero;1;29/04/2018;30/04/2019;27/04/2020;0,38
Asesor 1;66;Asesor Comercial;1;3/03/2018;8/03/2019;10/03/2020;0,65
Asesor 2;923;Asesor Comercial;1;--;15/12/2018;16/12/2019;0,23
Asesor 3;923;Asesor Comercial;1;--;24/12/20189;23/12/20189;0,46
Asesor 4;923;Asesor Comercial;1;--;15/12/2018;16/12/2019;0,54
Asesor 5;923;Asesor Comercial;1;--;15/12/2018;16/12/2019;0,38
Asesor 6;923;Asesor Comercial;1;--;15/12/2018;16/12/2019;0,43
Asesor 7;923;Asesor Comercial;1;--;15/12/2018;16/12/2019;0,47
Asesor 8;923;Asesor Comercial;1;--;15/12/2018;16/12/2019;0,48
Cajero 1;923;Cajero;1;19/05/2018;21/05/2019;26/05/2020;0,1
Cajero 2;923;Cajero;1;29/04/2018;30/04/2019;27/04/2020;0,73
Cajero 3;923;Cajero;1;29/04/2018;30/04/2019;27/04/2020;0,14
Cajero 4;923;Cajero;1;29/04/2018;30/04/2019;27/04/2020;0,54
Cajero 5;923;Cajero;1;29/04/2018;30/04/2019;27/04/2020;0,38
Cajero 6;923;Cajero;1;29/04/2018;30/04/2019;27/04/2020;0,43
Cajero 7;923;Cajero;1;29/04/2018;30/04/2019;27/04/2020;0,47
Cajero 8;923;Cajero;1;29/04/2018;30/04/2019;27/04/2020;0,43
Asesor 1;48;Asesor Comercial;1;21/01/2018;25/01/2019;24/01/2020;0,65
Asesor 2;48;Asesor Comercial;1;23/12/2017;23/12/2018;20/12/2019;0,23
Asesor 3;48;Asesor Comercial;1;25/01/2018;28/01/2019;30/01/2020;0,43
Asesor 4;48;Asesor Comercial;1;19/12/2017;19/12/2018;13/12/2019;0,54
Asesor 5;48;Asesor Comercial;1;--;8/01/2019;10/01/2020;0,38
Asesor 6;48;Asesor Comercial;0;--;4/11/2019;No Proyectadas;0,43
Asesor 7;48;Asesor Comercial;1;10/11/2017;21/11/2018;26/11/2019;0,47
Asesor 8;48;Asesor Comercial;1;10/11/2017;21/11/2018;26/11/2019;0,48
Asesor 9;48;Asesor Comercial;1;10/11/2017;21/11/2018;26/11/2019;0,49
Cajero 1;48;Cajero;1;18/12/2017;14/12/2018;15/11/2019;0,1
